,date,tz,lat,lon,temp_min,temp_max,temp_1200,temp_0000,temp_1800,temp_0600,cloud_cover,humidity,precipitation_tot,pressure,wind_max_speed,wind_direction
0,2014-01-01,+01:00,41.8002891,12.6004706,3.18,11.85,9.27,4.93,8.69,3.18,40.0,83.0,0.0,1019.0,2.57,60.0
1,2014-01-02,+01:00,41.8002891,12.6004706,2.4,12.69,10.36,4.7,10.88,4.51,75.0,84.0,0.65,1018.0,5.14,150.0
2,2014-01-03,+01:00,41.8002891,12.6004706,9.78,15.04,14.07,9.99,12.28,10.97,75.0,85.0,1.69,1020.0,5.14,160.0
3,2014-01-04,+01:00,41.8002891,12.6004706,10.19,14.56,14.46,10.19,14.12,11.29,40.0,82.0,3.56,1018.0,9.77,160.0
4,2014-01-05,+01:00,41.8002891,12.6004706,8.03,14.14,10.65,14.05,9.45,14.1,75.0,84.0,23.18,1006.0,10.8,150.0
5,2014-01-06,+01:00,41.8002891,12.6004706,4.28,13.63,10.86,8.15,9.92,5.14,0.0,75.0,0.0,1018.0,3.09,70.0
6,2014-01-07,+01:00,41.8002891,12.6004706,3.38,14.13,10.91,4.98,10.21,5.08,0.0,80.0,0.0,1023.0,1.54,40.0
7,2014-01-08,+01:00,41.8002891,12.6004706,3.67,12.7,9.82,6.87,10.25,4.17,0.0,91.0,0.0,1027.0,1.54,30.0
8,2014-01-09,+01:00,41.8002891,12.6004706,2.97,10.63,7.58,6.04,9.11,3.98,20.0,94.0,0.0,1025.0,1.03,40.0
9,2014-01-10,+01:00,41.8002891,12.6004706,8.97,11.86,10.8,9.71,11.0,9.87,75.0,91.0,0.0,1022.0,2.06,40.0
10,2014-01-11,+01:00,41.8002891,12.6004706,3.81,12.73,10.47,9.08,10.01,5.15,40.0,89.0,0.0,1022.0,1.03,30.0
11,2014-01-12,+01:00,41.8002891,12.6004706,4.97,11.73,9.64,7.14,10.03,6.05,40.0,91.0,0.0,1022.0,2.06,60.0
12,2014-01-13,+01:00,41.8002891,12.6004706,3.58,12.73,8.88,7.1,9.65,5.05,40.0,88.0,0.0,1019.0,2.06,50.0
13,2014-01-14,+01:00,41.8002891,12.6004706,9.08,11.83,10.92,9.82,11.01,11.64,75.0,91.0,16.83,1009.0,7.72,160.0
14,2014-01-15,+01:00,41.8002891,12.6004706,5.03,12.12,10.76,8.08,9.52,6.2,40.0,74.0,0.9,1010.0,3.6,140.0
15,2014-01-16,+01:00,41.8002891,12.6004706,3.7,11.78,8.12,5.88,8.79,4.17,40.0,78.0,0.0,1017.0,5.66,130.0
16,2014-01-17,+01:00,41.8002891,12.6004706,10.7,13.29,13.06,10.7,13.18,11.14,75.0,80.0,1.32,1014.0,9.77,150.0
17,2014-01-18,+01:00,41.8002891,12.6004706,12.3,15.83,15.63,13.12,14.7,12.3,40.0,65.0,2.06,1010.0,11.32,140.0
18,2014-01-19,+01:00,41.8002891,12.6004706,10.87,16.34,16.34,15.82,12.28,15.0,40.0,73.0,13.82,1003.0,10.8,150.0
19,2014-01-20,+01:00,41.8002891,12.6004706,9.04,12.86,11.66,10.2,9.86,10.26,75.0,70.0,11.25,999.0,5.14,120.0
20,2014-01-21,+01:00,41.8002891,12.6004706,7.76,12.62,10.64,8.87,10.87,8.87,40.0,71.0,0.57,1002.0,3.09,350.0
21,2014-01-22,+01:00,41.8002891,12.6004706,7.64,11.18,10.63,10.01,10.23,8.28,75.0,91.0,4.71,1012.0,4.12,180.0
22,2014-01-23,+01:00,41.8002891,12.6004706,6.05,12.5,12.26,7.42,11.55,6.38,75.0,72.0,2.85,1015.0,5.14,150.0
23,2014-01-24,+01:00,41.8002891,12.6004706,7.01,11.35,9.98,9.17,8.04,10.13,75.0,72.0,14.58,1003.0,5.66,160.0
24,2014-01-25,+01:00,41.8002891,12.6004706,4.05,10.73,10.04,6.93,7.11,6.25,20.0,51.0,0.21,1005.0,8.23,360.0
25,2014-01-26,+01:00,41.8002891,12.6004706,0.65,9.63,7.1,3.16,7.37,1.06,40.0,64.0,0.9,1007.0,5.14,40.0
26,2014-01-27,+01:00,41.8002891,12.6004706,0.2,8.35,7.89,2.81,6.52,0.52,75.0,68.0,6.81,1001.0,8.23,140.0
27,2014-01-28,+01:00,41.8002891,12.6004706,3.16,10.37,8.58,5.16,8.03,3.49,20.0,73.0,0.39,996.0,4.12,340.0
28,2014-01-29,+01:00,41.8002891,12.6004706,0.12,10.13,7.99,3.34,8.53,1.15,75.0,75.0,11.51,1005.0,7.72,130.0
29,2014-01-30,+01:00,41.8002891,12.6004706,10.9,13.23,12.45,10.96,13.14,11.93,40.0,86.0,18.45,1007.0,12.4,130.0
30,2014-01-31,+01:00,41.8002891,12.6004706,9.89,13.81,11.79,12.78,12.01,12.31,40.0,95.0,39.52,1008.0,16.5,140.0
